fecha,avg_weeks_absent
2020-01-01,13.59219492050382
2020-02-01,13.135475740390675
2020-03-01,7.244525919136368
2020-04-01,9.128175026680896
2020-05-01,12.945095367847411
2020-06-01,16.415285290525215
2020-07-01,11.955870764381404
2020-08-01,11.778214285714286
2020-09-01,17.41087005144263
2020-10-01,16.606500691562932
2020-11-01,17.694348894348895
2020-12-01,18.166412988330798
2021-01-01,18.085209003215436
2021-02-01,18.820310688615812
2021-03-01,18.551513671875
2021-04-01,17.455005500550055
2021-05-01,18.31166626243027
2021-06-01,18.496334830929296
2021-07-01,10.73474540608781
2021-08-01,10.395737402973293
2021-09-01,15.342117872544321
2021-10-01,15.20639606396064
2021-11-01,15.58111083924639
2021-12-01,16.884916748285995
2022-01-01,13.368618746798703
2022-02-01,16.367780528052805
2022-03-01,13.467683598050009
2022-04-01,14.763756793478262
2022-05-01,15.44002916514765
2022-06-01,15.08977978543196
2022-07-01,9.294049499736703
2022-08-01,9.533229994187174
2022-09-01,14.041952983725135
2022-10-01,13.729805996472663
2022-11-01,14.304576144036009
2022-12-01,15.289601554907676
2023-01-01,15.673421207948062
2023-02-01,14.465285769083238
2023-03-01,11.661591355599214
2023-04-01,14.484633115635805
2023-05-01,15.81999152901313
2023-06-01,16.130171106779294
2023-07-01,9.861467236467236
2023-08-01,9.598242982644097
2023-09-01,14.424167459562321
2023-10-01,14.446323389701691
2023-11-01,15.394079742247282
2023-12-01,15.537783375314861
